scaling_type,num_workers,cores_per_worker,dataset_scale,E2E_time,E2E_throughput,total_stage_time,average_stage_throughput,Total_Executor_Run_Time,Total_Executor_CPU_Time,Total_JVM_GC_Time,total_cores,CPU_Efficiency
Strong_Scaling,1,4,1.0,270.3426287174225,2933.3553637554523,173.542,4154.672671683961,544593.0,186269.0,6769.0,4,34.20334084352902
Strong_Scaling,2,4,1.0,183.8649973869324,4313.006886956075,105.712,6353.871796193477,544582.0,210922.0,6407.0,8,38.730990007014555
Strong_Scaling,4,4,1.0,162.9986720085144,4865.13779669675,65.18,10227.823816788603,565368.0,209483.0,5895.0,16,37.05250385589563
Strong_Scaling,8,4,1.0,146.8410677909851,5400.471488866991,41.655,14321.101788226131,657928.0,212865.0,7506.0,32,32.35384418963777
Strong_Scaling,16,4,1.0,134.3986804485321,5900.437395318648,28.000999999999998,25746.50576986102,743418.0,241550.0,8651.0,64,32.49181483364675
Weak_Scaling,1,4,0.0625,36.16358041763306,1370.522482221741,28.88,1716.1703601108034,28164.0,18316.0,183.0,4,65.03337594091748
Weak_Scaling,2,4,0.125,49.985501527786255,1983.0950369658133,38.182,5064.14008334186,86745.0,51007.0,866.0,8,58.80108363594444
Weak_Scaling,4,4,0.25,56.44813370704651,3512.10902788894,33.064,7589.929662296386,128851.0,73503.0,1123.0,16,57.04495890602323
Weak_Scaling,8,4,0.5,83.4041588306427,4754.019530430466,29.807,14276.555052856429,316506.0,121303.0,4261.0,32,38.32565575376138
Weak_Scaling,16,4,1.0,130.03641390800476,6098.376417555021,27.767,25754.53742727881,746169.0,237699.0,8568.0,64,31.855920039562086
Worker_Sweep,2,64,1.0,161.92243003845215,4897.474672358126,77.63900000000001,8022.801657412999,4958813.0,4790683.0,44796.0,128,96.60947085522281
Worker_Sweep,32,4,1.0,135.89985251426697,5835.260195861864,25.381,32893.12257173437,687995.0,264900.0,8399.0,128,38.503186796415676
Worker_Sweep,16,8,1.0,132.55650877952576,5982.437281287887,24.035000000000004,35983.943698244286,677816.0,387768.0,8542.0,128,57.20844594993332
Worker_Sweep,4,32,1.0,126.04483795166016,6291.499222714143,40.091,16216.361411113487,2037579.0,1896655.0,15778.0,128,93.08375282627078
Worker_Sweep,1,128,1.0,268.52994322776794,2953.156696299472,186.504,3532.6878904489613,11935660.0,11743134.0,119477.0,128,98.38696812744331
